field_name,field_type
proprietario_uuid,uuid
tipo_proprietario,text
operador_uuid,uuid
tipo_operador,text
marca,text
proprietario,text
proprietario_documento,text
outros_proprietarios,text
uf_proprietario,text
operador,text
outros_operadores,text
uf_operador,text
operador_documento,text
matricula,integer
numero_serie,text
cd_categoria,text
cd_tipo,text
modelo,text
fabricante,text
cd_cls,text
tipo_icao,text
peso_max_decolagem,text
tripulacao_min,integer
passageiros_max,integer
assentos,integer
ano_fabricacao,integer
data_validade_cva,date
cva_status,text
data_validade_ca,date
ca_status,text
data_cancelamento,date
motivo_cancelamento,text
cd_interdicao,text
cd_marca_nac1,text
cd_marca_nac2,text
cd_marca_nac3,text
cd_marca_estrangeira,text
observacao,text
data_matricula,date
